dr7objid,gz2class,total_classifications,total_votes,asset_id,path,label,ra,dec
587742191517433893,Ser(u),45,203,265203,../data/images/265203.jpg,edge_on,189.09097,25.982159
588017569236910086,Sb?t(m),45,347,269872,../data/images/269872.jpg,merger,189.14276,11.238863
587739505005297793,Sc?t,47,353,260505,../data/images/260505.jpg,spiral,181.01595,31.895788
587735348564787262,Sc2t,45,357,81317,../data/images/81317.jpg,spiral,160.5314,13.747001
587726014532354067,Sb?m(r),43,352,14850,../data/images/14850.jpg,spiral,180.676,1.9768088
588017978901528612,Sb1t(m),40,345,227794,../data/images/227794.jpg,merger,209.65825,37.424484
588017569236910085,Sc2l(m),53,462,210350,../data/images/210350.jpg,merger,189.13628,11.25798
588017978904477723,Sb?t,40,319,227840,../data/images/227840.jpg,spiral,217.6063,35.32103
587726031719301138,SBb+t,45,349,17552,../data/images/17552.jpg,spiral,197.38805,1.6730622
588017730302771288,SBb2t,45,366,223666,../data/images/223666.jpg,spiral,193.7619,8.065547
588017567099977820,Ser(u),47,223,269830,../data/images/269830.jpg,edge_on,183.96368,13.117011
587741722823753811,Er,47,163,158372,../data/images/158372.jpg,elliptical,194.89879,27.95926
588018055655784570,Sb2t(m),43,373,232415,../data/images/232415.jpg,merger,231.53313,41.676064
588848900972544080,Ser,43,181,244646,../data/images/244646.jpg,edge_on,148.33426,0.69770724
587725551192113224,Ser,45,175,9198,../data/images/9198.jpg,edge_on,115.16367,39.233295
588017724411084892,Sc3m,47,373,221639,../data/images/221639.jpg,spiral,209.37346,6.0969954
587738411940642859,SBc+t,48,394,258325,../data/images/258325.jpg,spiral,160.91211,14.871856
587736542548983826,Sb2t,41,329,91378,../data/images/91378.jpg,spiral,201.00294,9.710192
587741532246704196,Sb4t,45,371,151913,../data/images/151913.jpg,spiral,166.01225,28.036797
587738951493156928,SBb2m,49,391,116985,../data/images/116985.jpg,spiral,201.5381,35.934425
587731511532060697,Sc+t,51,410,281652,../data/images/281652.jpg,spiral,18.876839,-0.86098
587738951489486893,SBc+t,46,363,116947,../data/images/116947.jpg,spiral,191.10915,37.121212
587726032771481685,Sb3t,55,417,18470,../data/images/18470.jpg,spiral,148.12364,2.15445
588018055655784571,Sb?m(m),51,380,232416,../data/images/232416.jpg,merger,231.52565,41.67066
587736812600426681,Sc+t,45,335,99101,../data/images/99101.jpg,spiral,241.80414,7.978991
587736586574758004,Sc2m(m),35,309,94950,../data/images/94950.jpg,merger,214.1325,39.58905
587726100950876200,SBc3m,51,417,248007,../data/images/248007.jpg,spiral,223.42693,3.5825002
587741707812143142,SBb2t,41,341,155965,../data/images/155965.jpg,spiral,182.57605,26.430737
588017564954329106,Er,41,142,209458,../data/images/209458.jpg,elliptical,188.21774,11.404374
588017712052043782,Sen,45,192,219597,../data/images/219597.jpg,edge_on,219.54799,46.638233
587722982284460121,Ei,48,156,263,../data/images/263.jpg,elliptical,197.2088,-0.8173172
588017702922748004,Sc+m,45,349,216230,../data/images/216230.jpg,spiral,161.92282,11.077073
587731511544315973,Ei,49,167,282184,../data/images/282184.jpg,elliptical,46.88457,-0.9645394
588018055112360026,Er,42,138,232054,../data/images/232054.jpg,elliptical,212.56348,48.546116
587739407858335813,Er,43,139,128311,../data/images/128311.jpg,elliptical,191.84904,35.352066
587732772130652384,Ei,38,119,252934,../data/images/252934.jpg,elliptical,185.77777,10.621249
588017627236401163,Sc+t,43,347,214932,../data/images/214932.jpg,spiral,208.04083,43.242916
588017726559092746,Sb2l,49,391,222994,../data/images/222994.jpg,spiral,210.57329,7.6841626
587739303150026776,SBb3m,45,339,122509,../data/images/122509.jpg,spiral,203.37093,33.042374
588013383811923987,Ei(m),35,173,204738,../data/images/204738.jpg,merger,162.9318,51.022163
588007005805281492,Ei,43,145,192706,../data/images/192706.jpg,elliptical,249.37566,44.144493
587741603109797994,Ei,40,124,155658,../data/images/155658.jpg,elliptical,195.22691,28.007635
587741726584143934,SBc2m,32,234,263898,../data/images/263898.jpg,spiral,198.76463,24.618832
588023045870256231,SBc2m,46,353,235161,../data/images/235161.jpg,spiral,145.78564,21.182364
588848900980670532,SBb+t,43,340,244813,../data/images/244813.jpg,spiral,166.88168,0.78310364
587741603109601321,Er,42,136,155616,../data/images/155616.jpg,elliptical,194.76625,28.1237
587741722819493915,Sb2l(m),30,177,158233,../data/images/158233.jpg,merger,183.89937,28.177631
588017569779548214,Ei,39,126,210547,../data/images/210547.jpg,elliptical,202.69734,11.200761
588018055653228553,Sb?t(d),32,268,232392,../data/images/232392.jpg,spiral,224.64995,44.88361
588010880382599199,Er,27,86,199045,../data/images/199045.jpg,elliptical,209.5583,5.4082932
587742061625868293,Sc?m,35,269,168147,../data/images/168147.jpg,spiral,223.74841,18.037334
587741532794126498,Ser,48,202,263191,../data/images/263191.jpg,edge_on,193.51033,29.603607
587731681196965893,Sen(u),32,148,250947,../data/images/250947.jpg,edge_on,144.8947,48.421944
588017979978022953,Ei(m),30,141,229469,../data/images/229469.jpg,merger,217.50706,36.358223
587739098598867000,Sb2t,35,276,118211,../data/images/118211.jpg,spiral,181.31136,38.235603
588017604159209500,Sc+t,38,293,211728,../data/images/211728.jpg,spiral,220.16231,38.63782
587731870169563280,SBb+t,23,190,46917,../data/images/46917.jpg,spiral,174.2418,55.162064
587730021719277571,Sc2m(m),43,358,41071,../data/images/41071.jpg,merger,222.71463,5.1144853
587736619865407501,Er,32,104,95892,../data/images/95892.jpg,elliptical,248.25674,22.797398
587735665846648947,SBc4t,34,273,85002,../data/images/85002.jpg,spiral,225.19212,49.99366
587736541480222746,Sc2m,45,338,90785,../data/images/90785.jpg,spiral,212.43289,8.069134
587725816424235062,Ser,46,199,246997,../data/images/246997.jpg,edge_on,233.51881,56.690605
587731872847495230,SBb2t(r),53,432,47291,../data/images/47291.jpg,spiral,117.50009,30.024942
588018055119634471,SBd2m,45,351,272336,../data/images/272336.jpg,spiral,232.87836,40.430042
587741601496170525,Sc3t,34,272,154528,../data/images/154528.jpg,spiral,187.44821,27.243334
587735349099954195,Sb2l(m),43,360,81756,../data/images/81756.jpg,merger,156.44276,13.716849
588010880371851343,Ei,45,165,198849,../data/images/198849.jpg,elliptical,184.93881,6.0058813
587739132419899551,Seb,43,165,119931,../data/images/119931.jpg,edge_on,217.0974,33.253735
588023239671349320,Sb2m,39,315,236030,../data/images/236030.jpg,spiral,139.00735,17.82069
587737934118453302,Sc2t,45,356,107399,../data/images/107399.jpg,spiral,110.88849,41.4349
587732484373151833,Sb2l(m),32,197,56148,../data/images/56148.jpg,merger,226.6401,42.64038
587739720835334202,Sb1m(m),47,377,138445,../data/images/138445.jpg,spiral,214.33781,26.857447
588017979970289795,Sc+t,47,375,229350,../data/images/229350.jpg,spiral,195.52048,40.40836
587742012732473412,Sc+t,51,402,162228,../data/images/162228.jpg,spiral,149.75093,17.817133
587742062665531495,Ser,54,221,169063,../data/images/169063.jpg,edge_on,141.30861,17.599052
587725551199780967,SBb4t,33,257,9306,../data/images/9306.jpg,spiral,129.80402,53.623512
587739157113798784,Sc2m,34,273,259444,../data/images/259444.jpg,spiral,141.09534,28.293026
587736783607365679,Er(m),37,190,97612,../data/images/97612.jpg,merger,243.16727,33.034897
587741725506601032,SBc2m,27,218,263845,../data/images/263845.jpg,spiral,189.15858,24.428772
587742062678114412,Sc2m,47,373,169235,../data/images/169235.jpg,spiral,171.38904,22.819021
587741722820018244,Ei,46,145,158258,../data/images/158258.jpg,elliptical,185.29073,28.165102
588016893325672527,Sb2t(m),40,344,207486,../data/images/207486.jpg,merger,162.58995,41.464024
588017604148133911,Sb2l(m),39,324,211604,../data/images/211604.jpg,merger,187.05896,44.45325
587742013272621156,SBb2t,29,239,162939,../data/images/162939.jpg,spiral,157.3722,19.622782
587742645165621263,Er,43,128,180581,../data/images/180581.jpg,elliptical,245.71686,11.371007
587738947199565938,Er,31,95,115392,../data/images/115392.jpg,elliptical,129.49329,25.173885
587741602035597317,Ei,41,137,154905,../data/images/154905.jpg,elliptical,193.92207,27.250755
588017726543233051,Ser,41,162,222690,../data/images/222690.jpg,edge_on,173.99979,8.304807
588013382738837598,Er,35,130,203984,../data/images/203984.jpg,elliptical,165.73448,50.65925
588023045873336454,Ser,38,160,235191,../data/images/235191.jpg,edge_on,153.01524,23.085442
587734621631086753,Sc+t,39,307,72867,../data/images/72867.jpg,spiral,129.64168,30.79867
588297863116554298,Sb+t,36,290,238948,../data/images/238948.jpg,spiral,167.12541,45.1308
587739607548100636,Ei,28,85,131204,../data/images/131204.jpg,elliptical,170.03319,30.500196
587742190440022050,Sb?t,31,238,170569,../data/images/170569.jpg,spiral,179.77278,24.988964
587728930808135685,Sb?m(m),35,221,27452,../data/images/27452.jpg,merger,140.62267,50.430153
587741821066215489,Sc2m,47,371,161118,../data/images/161118.jpg,spiral,151.30621,21.45596
588297865257091172,Sd2m,47,352,273247,../data/images/273247.jpg,spiral,145.77597,41.093014
587741727123570765,Sb?t,29,221,159585,../data/images/159585.jpg,spiral,205.21317,24.473295
587735665840881790,Sb1m(m),26,206,255378,../data/images/255378.jpg,merger,205.41347,55.670567
587741709416792104,Sen(m),46,218,156985,../data/images/156985.jpg,edge_on,167.23192,26.610502
588017702935461925,Er,46,148,216440,../data/images/216440.jpg,elliptical,191.59448,11.876607
587742567322288247,Er,33,99,173308,../data/images/173308.jpg,elliptical,156.29793,17.255552
588017566025777287,Sc?t,41,315,209741,../data/images/209741.jpg,spiral,182.94841,12.143713
587739721900163101,Seb(m),48,328,261699,../data/images/261699.jpg,merger,191.54211,30.731916
587741533310353470,SBc3t,66,510,152778,../data/images/152778.jpg,spiral,140.92917,22.909058
587728947975421986,Sb?t,64,508,28258,../data/images/28258.jpg,spiral,153.66483,-0.8309091
587737826216771681,Sc?t,39,311,106847,../data/images/106847.jpg,spiral,130.49394,57.591923
587739827139051617,Er(m),39,190,142614,../data/images/142614.jpg,merger,240.53345,15.696548
587738950420267121,Ser,46,193,116767,../data/images/116767.jpg,edge_on,203.57118,34.929325
587729385534980105,SBb3m,36,286,33693,../data/images/33693.jpg,spiral,154.27141,54.820507
587729160055685192,Er,39,120,32033,../data/images/32033.jpg,elliptical,230.34393,4.341699
587731186735841374,Sc+t,38,287,279232,../data/images/279232.jpg,spiral,348.63803,0.23597531
587742014353309698,Sc?t,38,269,264429,../data/images/264429.jpg,spiral,174.06374,22.432646
587739707420967061,Er(m),44,177,136042,../data/images/136042.jpg,merger,241.388,17.601427
587732134311624747,Sb+t,37,292,51325,../data/images/51325.jpg,spiral,181.38393,51.50459
587735663159476281,Ser,46,187,84196,../data/images/84196.jpg,edge_on,148.66425,37.408592
587739814778634483,Sb3t,45,358,141932,../data/images/141932.jpg,spiral,237.36743,21.034119
588007004164522091,Ei,36,113,190917,../data/images/190917.jpg,elliptical,133.47963,52.40045
587741489820074048,Er(m),54,211,149921,../data/images/149921.jpg,merger,132.3469,19.069895
587742190447034398,Sc4m,37,295,170664,../data/images/170664.jpg,spiral,197.45828,24.577574
587739809947910156,Er,32,116,139806,../data/images/139806.jpg,elliptical,208.41925,25.079378
587729777448517802,Ei,61,192,39350,../data/images/39350.jpg,elliptical,224.2457,-2.1144576
587739457763213424,SBc3m,38,301,129340,../data/images/129340.jpg,spiral,223.70227,25.792503
587731521207992450,Sb1l(m),40,303,250749,../data/images/250749.jpg,merger,138.98134,44.33279
587739458832105491,SBb4t,42,326,129548,../data/images/129548.jpg,spiral,211.98068,29.872759
587736523764334706,Sc2m(m),45,388,89960,../data/images/89960.jpg,merger,218.7865,5.358958
587741817851674654,SBb2m(m),47,348,160846,../data/images/160846.jpg,merger,139.1726,18.963453
587737825142440094,Sc3t,36,288,106401,../data/images/106401.jpg,spiral,130.06462,56.048508
587734950206963722,Sb2m,37,280,77444,../data/images/77444.jpg,spiral,162.62723,12.502289
587728310175465540,Sc2l,40,308,248339,../data/images/248339.jpg,spiral,167.09982,3.4979649
587732482746613920,Er,42,129,54359,../data/images/54359.jpg,elliptical,174.15268,49.06305
588013384351678489,Ser(m),29,169,205036,../data/images/205036.jpg,merger,173.16771,52.950382
587739457760919625,Sc2t,38,295,129302,../data/images/129302.jpg,spiral,218.11427,27.427435
587739706876362804,Ser,44,192,135420,../data/images/135420.jpg,edge_on,223.6462,23.643282
587724650335764572,Ei,43,135,3376,../data/images/3376.jpg,elliptical,191.46805,-1.6802375
587738950417055760,Er,47,130,116745,../data/images/116745.jpg,elliptical,194.80115,35.90974
587738948293754953,Sb?t(m),36,288,116503,../data/images/116503.jpg,merger,182.97949,40.655067
587742549602599058,Ser(m),47,224,265228,../data/images/265228.jpg,merger,209.00047,17.511608
587739609713737909,Sb?t,43,351,132765,../data/images/132765.jpg,spiral,218.05142,28.556826
588013382718193846,Er,50,158,203680,../data/images/203680.jpg,elliptical,115.177666,23.626223
